Gender,Age,Physical Exercise,Height (cm),Weight (kg),Calories
Male,78,0,169,46,1213
Female,100,2,140,117,2964
Male,47,1,165,81,2606
Male,48,1,188,64,2412
Male,82,1,168,70,2026
Female,33,0,183,73,1836
Male,40,0,184,45,1597
Male,69,0,153,79,1733
Male,73,0,151,114,2264
Female,82,1,198,103,2503
Male,61,2,185,113,4036
Male,39,0,162,77,1999
Male,47,0,165,95,2247
Male,62,1,149,56,1793
Female,38,2,191,64,2726
Male,81,2,155,97,3076
Female,42,1,195,87,2548
Female,17,1,169,94,2762
Female,32,2,146,73,2790
Male,48,0,130,101,2128
Female,24,2,190,83,3194
Male,58,1,172,100,2947
Female,63,0,171,87,1802
Female,54,0,154,94,1897
Female,57,1,168,67,2066
Female,41,1,164,88,2484
Female,65,1,132,82,2130
Female,40,2,173,67,2701
Female,39,2,180,89,3135
Female,28,0,141,96,2039
Male,75,1,148,94,2455
Male,22,0,173,52,1793
Female,72,0,188,45,1304
Female,51,0,178,52,1482
Female,60,0,190,73,1699
Male,35,1,146,49,1905
Female,80,0,186,91,1785
Male,23,1,184,78,2942
Male,31,1,176,109,3454
Male,29,2,141,99,3667
Male,91,1,191,87,2471
Male,30,2,137,118,4111
Female,81,1,150,74,1945
Female,47,1,199,61,2136
Female,78,1,154,70,1918
Female,66,2,141,52,2086
Female,40,2,144,91,3040
Male,73,0,188,116,2519
Female,78,2,155,90,2720
Female,77,2,155,112,3130
Male,37,2,176,77,3324
Female,73,2,161,45,1964
Male,73,0,139,63,1353
Female,64,2,145,75,2537
Male,67,1,200,58,2178
Female,57,1,146,97,2451
Female,85,2,152,92,2683
Male,30,2,155,113,4152
Male,69,1,136,106,2680
Male,75,1,143,110,2756
Male,23,0,136,108,2483
Male,68,1,138,114,2876
Male,75,1,177,107,2956
Male,20,2,188,117,4699
Male,83,1,168,77,2165
Female,21,0,147,85,1964
Female,62,1,188,92,2457
Male,70,2,146,57,2092
Female,55,2,143,117,3376
Female,67,1,160,75,2090
Female,31,2,153,119,3661
Female,28,0,189,112,2327
Male,45,0,174,48,1545
Female,34,1,132,63,2073
Male,32,1,166,114,3472
Female,78,1,172,57,1775
Female,34,2,169,67,2741
Female,73,0,184,119,2143
Male,70,0,168,45,1256
Female,77,2,144,98,2837
Male,38,0,133,115,2458
Female,24,1,154,59,2148
Male,27,1,142,109,3233
Female,16,1,162,115,3062
Male,73,0,145,59,1323
Male,16,1,171,65,2639
Female,49,2,195,63,2623
Male,63,2,184,104,3767
Female,16,0,171,77,1952
Female,31,2,163,93,3221
Female,76,2,159,79,2551
Female,79,0,142,88,1661
Female,78,1,142,55,1662
Female,84,1,147,116,2540
Female,37,1,161,118,2951
Female,82,0,168,110,1954
Female,91,2,175,90,2672
Female,41,1,158,53,1946
Female,31,1,191,47,2022
Male,66,0,191,70,1837
Male,72,1,186,116,3248
Female,44,0,145,92,1911
Female,93,2,185,110,3053
Female,84,0,139,114,1926
Female,62,0,159,72,1609
Female,77,0,154,70,1491
Female,84,0,134,69,1397
Female,91,2,194,56,2117
Female,31,2,178,49,2470
Male,63,1,132,92,2415
Female,100,2,174,81,2424
Male,54,2,143,88,3077
Female,48,1,159,59,1987
Female,38,2,197,87,3166
Male,25,0,147,92,2270
Female,84,0,191,114,2038
Male,49,1,166,90,2783
Female,67,1,154,87,2251
Female,25,1,177,65,2294
Male,34,0,194,67,2067
Female,73,2,182,91,2875
Male,16,0,144,59,1783
Female,84,1,178,69,1927
Male,19,2,197,80,3834
Male,31,2,141,119,4162
Female,39,0,188,95,2067
Female,95,1,166,59,1664
Male,17,0,190,112,2922
Female,47,2,172,65,2599
Female,99,0,199,57,1314
Female,39,0,168,63,1655
Male,27,1,185,78,2908
Male,65,1,192,112,3284
Male,50,2,175,96,3641
Male,48,0,140,71,1695
